順位,ティッカー,会社名,スコア,PER,PBR,配当利回り,時価総額
1,9984.T,SoftBank Group Corp.,78.78,8.32,1.64,23.0%,253538億円
2,9104.T,"Mitsui O.S.K. Lines, Ltd.",76.07,6.25,0.66,3.88%,17956億円
3,8766.T,"Tokio Marine Holdings, Inc.",76.06,11.78,2.31,3.38%,121683億円
4,9022.T,Central Japan Railway Company,75.44,8.7,0.9,69.0%,44450億円
5,8601.T,Daiwa Securities Group Inc.,72.27,14.67,1.29,3.63%,22107億円
6,8750.T,"Dai-ichi Life Holdings, Inc.",70.69,14.2,1.4,3.67%,56960億円
7,8804.T,"Tokyo Tatemono Co., Ltd.",70.44,14.43,1.43,3.01%,8475億円
8,8304.T,"Aozora Bank, Ltd.",68.67,17.85,0.83,3.14%,3930億円
9,8591.T,ORIX Corporation,68.54,13.01,1.31,3.55%,59946億円
10,8604.T,"Nomura Holdings, Inc.",67.95,12.32,1.17,3.77%,42644億円
